model,mAP50,mAP50_95,APsmall,params_M,GFLOPs,FPS
YOLOv8s,39.4,23.5,22.9,11.1,28.7,135
YOLOv10s,38.6,23.1,22.4,7.4,21.4,145
YOLO11s,39.6,23.7,23.9,9.4,21.5,128
DAU-YOLO,41.7,25.0,25.3,7.8,20.9,130
SRTSOD-YOLO-s,42.4,25.6,26.1,11.1,24.2,118
MSUD-YOLO,42.1,25.3,25.7,6.8,20.6,127
I-YOLOv11n,41.2,24.7,25.0,5.9,15.8,150
SMA-YOLO,42.0,25.2,25.8,8.5,20.7,126
MFEL-YOLO,42.3,25.5,26.0,10.5,23.8,116
YOLO11s-UAV,42.5,25.7,26.2,9.8,22.6,119
Enhanced YOLOv11n,41.9,25.1,25.6,8.6,21.6,124
PDFN,42.8,25.9,26.4,8.9,21.8,123
